# z, uu, vv, ww, tke
1.776000000000000000e+03 2.098684984134813078e-05 2.032598485280736510e-05 1.951065307176340363e-05 3.041174388295944976e-05
1.788000000000000000e+03 2.681105141267252487e-05 2.981603654477593730e-05 2.317363296877952578e-05 3.990036046311399567e-05
1.800000000000000000e+03 3.773655548636973769e-05 3.980652374928723779e-05 3.142764160775243066e-05 5.448536042170470646e-05
1.812000000000000000e+03 7.999071071462217559e-05 9.125428269082461056e-05 4.048767630046415150e-05 1.058663348529554824e-04
1.824000000000000000e+03 4.053250675412204459e-04 4.132460662994506644e-04 8.316696012199999415e-05 4.508690469813355522e-04
1.836000000000000000e+03 1.366641969054466048e-03 1.440227000929614112e-03 2.423206479549729314e-04 1.524594808969526559e-03
1.848000000000000000e+03 2.077034366073645527e-03 2.263175017912097235e-03 5.457837922318273293e-04 2.442996588108784992e-03
1.860000000000000000e+03 2.172097009786055650e-03 2.379403228192687389e-03 1.008706566795033923e-03 2.780103402386888481e-03
1.872000000000000000e+03 2.103539756555883669e-03 2.241693062774319928e-03 1.511284501256211126e-03 2.928258660293207253e-03
1.884000000000000000e+03 2.358738451665022638e-03 2.675880929717221884e-03 1.856794954813466292e-03 3.445707168097855190e-03
1.896000000000000000e+03 3.275247733249641354e-03 3.417774042411659413e-03 2.011156308663011871e-03 4.352089042162156536e-03
1.908000000000000000e+03 5.294511054285719158e-03 6.187541137214251641e-03 1.316606146917175587e-03 6.399329169208573843e-03
1.920000000000000000e+03 1.164584204139503150e-02 1.542221967578192611e-02 1.275713804937870632e-03 1.417188776105741434e-02
