# z, Tu, Tv, Tw
1.488000000000000000e+03 -4.407397857760815899e-03 -3.688864546729212282e-03 -6.714518269923114594e-08
1.500000000000000000e+03 -4.407430427753536092e-03 -3.689172920839803391e-03 5.987451437316770604e-08
1.512000000000000000e+03 -4.407803455188662005e-03 -3.689116467086387460e-03 -7.298623259523462630e-08
1.524000000000000000e+03 -4.407938557285717707e-03 -3.689356704869965319e-03 4.566867686813802330e-08
1.536000000000000000e+03 -4.408309281161473456e-03 -3.689253272064684126e-03 -7.009105518779590280e-08
1.548000000000000000e+03 -4.408417968419621816e-03 -3.689505426482753668e-03 2.928624748285424275e-08
1.560000000000000000e+03 -4.408682813794848922e-03 -3.689526091874608879e-03 -6.095486522444682232e-08
1.572000000000000000e+03 -4.408785764163610996e-03 -3.689737214821673262e-03 1.199184251932661199e-08
1.584000000000000000e+03 -4.408929974589045550e-03 -3.689877969994495143e-03 -4.657608800995305525e-08
1.596000000000000000e+03 -4.409030754655532056e-03 -3.690049623897902892e-03 -8.296852259892517477e-09
1.608000000000000000e+03 -4.409144443898935228e-03 -3.690223506833672108e-03 -2.828122910522590096e-08
1.620000000000000000e+03 -4.409228289905604142e-03 -3.690381412677731787e-03 -2.846328865095393284e-08
1.632000000000000000e+03 -4.409298021136567186e-03 -3.690654581396449890e-03 -9.934894720892150833e-09
1.644000000000000000e+03 -4.409332705241957029e-03 -3.690840409409429455e-03 -4.448778042834833047e-08
1.656000000000000000e+03 -4.409391218216410571e-03 -3.691134943410179399e-03 6.886118106513849640e-09
1.668000000000000000e+03 -4.409278124796219347e-03 -3.691474276264648455e-03 -5.910610611838395915e-08
1.680000000000000000e+03 -4.409310120969223840e-03 -3.691816309058333287e-03 2.291245277337150664e-08
1.692000000000000000e+03 -4.409033887355758019e-03 -3.692415657530443828e-03 -7.431329370102823954e-08
1.704000000000000000e+03 -4.408997410880203562e-03 -3.692882469817334538e-03 2.910407713891949320e-08
1.716000000000000000e+03 -4.408609703576894627e-03 -3.693747956704771657e-03 -8.918941729066375913e-08
1.728000000000000000e+03 -4.408368037260743284e-03 -3.694397187978972971e-03 1.502985662608646761e-08
1.740000000000000000e+03 -4.407828438976150488e-03 -3.695643132320537965e-03 -9.537866451440613508e-08
1.752000000000000000e+03 -4.407023365652230212e-03 -3.696861181684528170e-03 -1.442187781279247138e-08
1.764000000000000000e+03 -4.405815466367130236e-03 -3.699479942500772615e-03 -1.064438349184515527e-07
1.776000000000000000e+03 -4.402846448018192180e-03 -3.703564740674823892e-03 -3.390594444294126317e-08
1.788000000000000000e+03 -4.397784500850297935e-03 -3.712292523809833465e-03 -2.132760734256611183e-07
1.800000000000000000e+03 -4.379661190595527179e-03 -3.742858246626178630e-03 1.123957959825672122e-07
1.812000000000000000e+03 -4.326701559192019583e-03 -3.835124830550762365e-03 -2.375370806360177395e-06
1.824000000000000000e+03 -4.204814171223245078e-03 -3.991071429382475437e-03 3.273761503411864801e-06
1.836000000000000000e+03 -4.132853089556329067e-03 -3.979503576242177793e-03 -1.281004508564746958e-05
1.848000000000000000e+03 -4.292532684371690339e-03 -3.611683229758569022e-03 -8.858289159208166519e-06
1.860000000000000000e+03 -4.835982961068952674e-03 -2.977370117768657690e-03 1.263408086819958249e-05
1.872000000000000000e+03 -5.647289690001832362e-03 -2.248312210700521407e-03 2.482631305443172415e-06
1.884000000000000000e+03 -6.513150736746615641e-03 -1.644190015330195898e-03 9.094958316422480874e-05
1.896000000000000000e+03 -7.476998407866699073e-03 -1.103753564806061148e-03 7.200104190501239597e-05
1.908000000000000000e+03 -7.814691807981092100e-03 -1.273373374142272455e-03 1.174843297082501787e-04
1.920000000000000000e+03 -6.886255157218988676e-03 -2.294034780748302298e-03 1.078967396546819427e-04
