# z, uu, vv, ww, tke
1.668000000000000000e+03 7.830843581864791484e-07 7.828434616783461726e-07 7.896708037486476394e-07 1.177799311806736321e-06
1.680000000000000000e+03 8.192464634580482215e-07 8.193437911755205435e-07 8.124809909493877979e-07 1.225535622791478176e-06
1.692000000000000000e+03 9.100962974772754223e-07 9.098710656811274951e-07 9.166725447940611800e-07 1.368319953976232102e-06
1.704000000000000000e+03 9.944360887385163800e-07 9.945888654166590270e-07 9.872464618935783899e-07 1.488135708024376898e-06
1.716000000000000000e+03 1.133547798463607802e-06 1.133393787352432449e-06 1.140546094516006805e-06 1.703743840166023634e-06
1.728000000000000000e+03 1.307384725484976058e-06 1.307642728766569235e-06 1.299734605421353027e-06 1.957381029836449054e-06
1.740000000000000000e+03 1.576323039651823069e-06 1.576554796487021709e-06 1.584324262647108969e-06 2.368601049392977085e-06
1.752000000000000000e+03 1.938480196494990703e-06 1.938880529784108320e-06 1.930207810233778043e-06 2.903784268256438533e-06
1.764000000000000000e+03 2.625315951169975831e-06 2.625638967458333667e-06 2.633881213845388251e-06 3.942418066236848875e-06
1.776000000000000000e+03 3.817610499758791338e-06 3.817494051554748980e-06 3.807147372870554037e-06 5.721125962092047178e-06
1.788000000000000000e+03 6.694273713971193840e-06 6.693335674120218073e-06 6.707226130219747079e-06 1.004741775915558077e-05
1.800000000000000000e+03 1.332452289530782258e-05 1.332478458013583641e-05 1.330502998943772707e-05 1.997716873244069388e-05
1.812000000000000000e+03 5.358440815322933421e-05 5.357976683855411208e-05 5.362863633042888286e-05 8.039640566110615441e-05
1.824000000000000000e+03 2.201920995773326757e-04 2.202586496776004043e-04 2.202869391551327426e-04 3.303688442050329113e-04
1.836000000000000000e+03 4.882557204635333895e-04 4.882603609813256323e-04 4.891377065110787559e-04 7.328268939779689160e-04
1.848000000000000000e+03 7.775046346936619274e-04 7.774951984451330565e-04 7.787218119699021359e-04 1.166860822554348451e-03
1.860000000000000000e+03 1.104368612175590488e-03 1.104323018982060218e-03 1.105810644689252976e-03 1.657251137923451949e-03
1.872000000000000000e+03 1.388178667838765087e-03 1.388084210222236903e-03 1.389016484021609330e-03 2.082639681041305660e-03
1.884000000000000000e+03 1.698538982282584353e-03 1.698466111622212379e-03 1.698936784455624223e-03 2.547970939180210694e-03
1.896000000000000000e+03 2.409410310433071460e-03 2.409744317828609039e-03 2.407425892481082456e-03 3.613290260371381478e-03
1.908000000000000000e+03 4.972239714494473828e-03 4.974459809382334244e-03 4.965082075809264250e-03 7.455890799843036161e-03
1.920000000000000000e+03 1.016394427714314985e-02 1.016655230915672684e-02 1.019933049105949639e-02 1.526491353867968567e-02
