# z, Tu, Tv, Tw
1.020000000000000000e+03 -1.059724610055541495e-08 -3.819297287238475681e-08 -1.939571043235020667e-04
1.032000000000000000e+03 -1.552556089370883502e-08 -1.704941006297420071e-08 -3.086294674570147088e-04
1.044000000000000000e+03 -1.710020792125890176e-08 -1.206696647673888943e-08 -4.823389945655578558e-04
1.056000000000000000e+03 -1.432206783870997569e-08 -7.443696013651868463e-09 -7.157407017228623004e-04
1.068000000000000000e+03 3.248549365960821773e-08 3.734105263741193175e-09 -8.731724651313595023e-04
1.080000000000000000e+03 4.499329817477633528e-08 2.598396783855834565e-10 -1.060874128667850308e-03
1.092000000000000000e+03 8.370818100403933369e-08 6.225946683549876709e-09 -1.205190081289950329e-03
1.104000000000000000e+03 5.314876440715609102e-08 -7.984991146795531779e-09 -1.267841486569205953e-03
1.116000000000000000e+03 7.709314807284967253e-09 2.676102032048412738e-09 -1.275892357708165213e-03
1.128000000000000000e+03 -2.624675139226301598e-08 -1.505546806341833459e-08 -1.062224979983100162e-03
1.140000000000000000e+03 1.643873326778492348e-08 -4.107850920240048020e-10 -8.164516148356060861e-04
1.152000000000000000e+03 9.885042519642423547e-09 3.787041235719133872e-09 -3.777439855215712432e-04
1.164000000000000000e+03 -2.656726296836986496e-09 3.928127406466965608e-09 -1.507189237548383178e-04
1.176000000000000000e+03 1.095319354725014992e-09 8.564736318425976296e-10 -4.736000840092446077e-05
1.188000000000000000e+03 -1.215439765043718491e-10 1.505947364212888381e-10 -1.678340851001433758e-05
1.200000000000000000e+03 8.413893032419068961e-11 -1.700692712423904019e-10 -7.807206006706532580e-06
1.212000000000000000e+03 -4.388044553675927755e-10 2.866956879903327868e-10 -5.357572761206032228e-06
1.224000000000000000e+03 5.160364833756660152e-10 -1.371701599699959798e-11 -5.315416435855086932e-06
1.236000000000000000e+03 -2.785637865476510224e-10 -1.088024856123756578e-10 -4.677528383508632956e-06
1.248000000000000000e+03 2.740652474688686342e-10 -3.798667720118160555e-11 -3.573070405169582182e-06
1.260000000000000000e+03 -1.811424291971763939e-10 -2.596183633422660337e-10 -2.764666333112856266e-06
1.272000000000000000e+03 8.332936072615485065e-11 9.234341366616071719e-11 -2.548020948064589829e-06
1.284000000000000000e+03 -8.818981692802818037e-12 -1.200735591448463545e-10 -1.770790182928238434e-06
1.296000000000000000e+03 -1.752304165931940873e-11 -1.110336025598034801e-11 -1.372547159215259510e-06
1.308000000000000000e+03 3.408318850295823924e-11 -5.637638360050222445e-11 -1.059447566970821240e-06
1.320000000000000000e+03 -2.074364682768170839e-11 -3.656154851001756413e-11 -9.108288880269613766e-07
1.332000000000000000e+03 1.452094951519423748e-11 -2.281002240446919864e-11 -8.566760395868372341e-07
1.344000000000000000e+03 -3.570646285836458418e-12 -8.470327802965183456e-12 -7.995251927725640762e-07
1.356000000000000000e+03 -1.555970434459244055e-11 -1.346987806065444862e-12 -7.613909722224469416e-07
1.368000000000000000e+03 5.884507647907616138e-12 2.252813324820348196e-11 -7.413543651527834185e-07
1.380000000000000000e+03 -3.988238372135180480e-11 3.343518066408427957e-12 -7.049329156202565907e-07
1.392000000000000000e+03 2.389941898700591042e-11 1.181981451151807762e-13 -7.049594065682993356e-07
1.404000000000000000e+03 -3.811587286209672206e-11 -2.736969008192730433e-12 -6.726726466131972373e-07
1.416000000000000000e+03 4.555499874563118637e-11 -4.823451420634748617e-12 -6.735311963099124882e-07
1.428000000000000000e+03 -2.126823100508664813e-11 5.827305722593602040e-12 -6.594681343620877608e-07
1.440000000000000000e+03 5.907983064294616105e-11 5.780291414629506015e-12 -6.504753386120962509e-07
1.452000000000000000e+03 -6.766647293681641179e-12 2.761711408074403141e-12 -6.525463151532168020e-07
1.464000000000000000e+03 5.862806903298133129e-11 1.618694176897467496e-11 -6.375131606592282965e-07
1.476000000000000000e+03 -2.139584633368973898e-12 -7.021708922502186536e-12 -6.421065159294036006e-07
1.488000000000000000e+03 4.587701174013726991e-11 2.724841467273153440e-11 -6.315697497546886472e-07
1.500000000000000000e+03 -1.885505160219374744e-11 -1.435865052690558655e-11 -6.330661889203073119e-07
